ID	PREMISE	HYPOTHESIS	PREMISE TRANSLATED	HYPOTHESIS TRANSLATED	LABEL 
SNI9	El cantante no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.	The singer didn't know that the song was going to be a complete success.	The song was going to be a complete success.	PS+
SNI11	El presidente de España no dijo que el país tuviera problemas económicos.	El país tenía problemas económicos.	The Spanish president didn't say that the country had economic problems.	The country had economic problems.	Uu
SNI13	La periodista de LaSexta no sabía que la noticia fuera falsa.	La noticia era falsa.	The journalist from LaSexta didn't know that the news was fake.	The news was fake.	CT+
SNI15	El entrenador de fútbol no sospechaba que el equipo contrario hubiera comprado al árbrito.	El equipo contrario había comprado al árbitro.	The football coach didn't suspect that the opposite team had bought the referee.	The opposite team had bought the referee.	PR+
SNI16	La autora de literatura juvenil no intuía que su nueva novela fuera a tener éxito.	La nueva novela de la autora de literatura juvenil iba a tener éxito.	The author of youth literature didn't sense that her/his new novel was going to be successful.	The new novel was going to be successful.	Uu
SNI18	El cantante cubano no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.	The Cuban singer didn't know that the song was going to be a complete success.	The song was going to be a complete success.	CT+
SNI21	Fernando Simón no creía que la tendencia hubiera cambiado.	La tendencia había cambiado.	Fernando Simón didn't believe that the tendency had changed.	The tendency had changed.	PS-
SNI22	Ana Pastor no sabía que la noticia fuera falsa.	La noticia era falsa.	Ana Pastor didn't know that the news was fake.	The news was fake.	CT+ 
SNI25	J.K. Rowling no intuía que su nueva novela fuera a tener éxito.	La nueva novela de J.K. Rowling iba a tener éxito.	J.K. Rowling didn't sense that her/his new novel was going to be successful.	The new novel was going to be successful.	CT+
SNI26	Bernard Montgomery no creyó que los ataques hubieran cesado.	Los ataques habían cesado.	Bernard Montgomery didn't believe that the attacks had stopped.	The attacks had stopped.	Uu
SNI27	Maykel Osorbo no sabía que la canción fuera a ser todo un éxito.	La canción iba a ser un éxito.	Maykel Osorbo didn't know that the song was going to be a complete success.	The song was going to be a complete success.	PS+
